0,RT @Namatnieks: What if Elden Ring was a 2d pixelart game? #pixelart #eldenring https://t.co/RVeuK3ktr2,  What if Elden Ring was a 2d pixelart game?   ,-0.4,0.4,Negative
1,RT @Namatnieks: What if Elden Ring was a 2d pixelart game? #pixelart #eldenring https://t.co/RVeuK3ktr2,  What if Elden Ring was a 2d pixelart game?   ,-0.4,0.4,Negative
2,RT @Namatnieks: What if Elden Ring was a 2d pixelart game? #pixelart #eldenring https://t.co/RVeuK3ktr2,  What if Elden Ring was a 2d pixelart game?   ,-0.4,0.4,Negative
3,"RT @VideoArtGame: Fan art | Elden Ring - Ranni the Witch and Blaidd

Artist: @Dino_illus https://t.co/IB2UIcvDsZ",  Fan art | Elden Ring - Ranni the Witch and BlaiddArtist: @Dino_illus ,0.0,0.0,Neutral
4,RT @Namatnieks: What if Elden Ring was a 2d pixelart game? #pixelart #eldenring https://t.co/RVeuK3ktr2,  What if Elden Ring was a 2d pixelart game?   ,-0.4,0.4,Negative
5,RT @LumpyTouch: jumping off a cliff in Elden Ring be like https://t.co/YFvgB6GHOI,  jumping off a cliff in Elden Ring be like ,0.0,0.0,Neutral
6,RT @Namatnieks: What if Elden Ring was a 2d pixelart game? #pixelart #eldenring https://t.co/RVeuK3ktr2,  What if Elden Ring was a 2d pixelart game?   ,-0.4,0.4,Negative
7,RT @Namatnieks: What if Elden Ring was a 2d pixelart game? #pixelart #eldenring https://t.co/RVeuK3ktr2,  What if Elden Ring was a 2d pixelart game?   ,-0.4,0.4,Negative
8,RT @Namatnieks: What if Elden Ring was a 2d pixelart game? #pixelart #eldenring https://t.co/RVeuK3ktr2,  What if Elden Ring was a 2d pixelart game?   ,-0.4,0.4,Negative
9,RT @wjs07_: I still haven't played elden ring... https://t.co/UoqYIqgIDk, @wjs07_: I still haven't played elden ring... ,0.0,0.0,Neutral
10,RT @Namatnieks: What if Elden Ring was a 2d pixelart game? #pixelart #eldenring https://t.co/RVeuK3ktr2,  What if Elden Ring was a 2d pixelart game?   ,-0.4,0.4,Negative
11,RT @penip_: i am going to beat elden ring with only the bubble sorceries https://t.co/FbSA2rw82w, @penip_: i am going to beat elden ring with only the bubble sorceries ,0.0,1.0,Neutral
12,"RT @pavoliareine: 【ELDEN RING】
#Pavolive #Pavolia_Reine 

let's progress? I don't know what else to do ;w;

23:30 AM GMT+7 / 25:30 JST
http…",  【ELDEN RING】 _Reine let's progress? I don't know what else to do ;w;23:30 AM GMT+7 / 25:30 JST,0.0,0.0,Neutral
13,RT @JohnDevlinArt: Check out @VaatiVidya  new Lore vid on Elden Ring. plenty more on the way #eldenring https://t.co/9sI5hJohlP,  Check out @VaatiVidya  new Lore vid on Elden Ring. plenty more on the way  ,0.3181818181818182,0.4772727272727273,Postive
14,RT @Namatnieks: What if Elden Ring was a 2d pixelart game? #pixelart #eldenring https://t.co/RVeuK3ktr2,  What if Elden Ring was a 2d pixelart game?   ,-0.4,0.4,Negative
15,"ok i bought elden ring, so fucking what","ok i bought elden ring, so fucking what",-0.04999999999999999,0.65,Negative
16,Best character in Elden Ring https://t.co/aBD2yq3aPO,Best character in Elden Ring ,1.0,0.3,Postive
17,"RT @Gladd: Them: ""Hey, Gladd. Saw you ran into some BS during your Lvl 1 Elden Ring run the other day. How's today starting off?!""

Me: ...…","  Them: ""Hey, Gladd. Saw you ran into some BS during your Lvl 1 Elden Ring run the other day. How's today starting off?!""Me: ...…",-0.0625,0.2375,Negative
18,RT @Robssuttie123: Live now with a little Marbles! #MarblesOnStream then we going to try out Elden Ring! 👀 #ELDENRING  wish me luck 😂 #twit…,  Live now with a little Marbles!  then we going to try out Elden Ring! 👀   wish me luck 😂 …,-0.07830255681818182,0.5,Negative
19,RT @Namatnieks: What if Elden Ring was a 2d pixelart game? #pixelart #eldenring https://t.co/RVeuK3ktr2,  What if Elden Ring was a 2d pixelart game?   ,-0.4,0.4,Negative
20,RT @Namatnieks: What if Elden Ring was a 2d pixelart game? #pixelart #eldenring https://t.co/RVeuK3ktr2,  What if Elden Ring was a 2d pixelart game?   ,-0.4,0.4,Negative
21,RT @JohnDevlinArt: Check out @VaatiVidya  new Lore vid on Elden Ring. plenty more on the way #eldenring https://t.co/9sI5hJohlP,  Check out @VaatiVidya  new Lore vid on Elden Ring. plenty more on the way  ,0.3181818181818182,0.4772727272727273,Postive
22,RT @Namatnieks: What if Elden Ring was a 2d pixelart game? #pixelart #eldenring https://t.co/RVeuK3ktr2,  What if Elden Ring was a 2d pixelart game?   ,-0.4,0.4,Negative
23,"@PS_MasterRace I'll just mention everything each pre elden ring game does best cuz why the fuck not
DeS- non linear… https://t.co/q1f1pUZGof",@PS_MasterRace I'll just mention everything each pre elden ring game does best cuz why the fuck notDeS- non linear… ,0.06666666666666665,0.4333333333333333,Postive
24,RT @wjs07_: I still haven't played elden ring... https://t.co/UoqYIqgIDk, @wjs07_: I still haven't played elden ring... ,0.0,0.0,Neutral
25,150 Elden ring pvp sucks Bc poise stacking is incredibly crazy cringe,150 Elden ring pvp sucks Bc poise stacking is incredibly crazy cringe,-0.44999999999999996,0.6,Negative
26,I'm now streaming on Twitch! Playing Elden Ring https://t.co/01F9mzpCj2,I'm now streaming on Twitch! Playing Elden Ring ,0.0,0.0,Neutral
